"","country","personnel","om","housing1","housing2","construction","total","year","housing","revolving"
"81","Japan",3017.1,1757.8,NA,NA,198.5,5317.1,2019,340.4,"3.3"
"82","South Korea",1999.1,2203.7,NA,NA,17.5,4425.4,2019,203.8,"1.3"
"83","Kuwait",63.4,6.2,NA,NA,44,113.7,2019,NA,"0.2"
"84","Netherlands",44.8,29.7,NA,NA,NA,74.5,2019,NA,""
"85","Poland",9.2,11.9,NA,NA,NA,21.1,2019,NA,""
"86","Portugal",20.9,18.1,NA,NA,NA,40,2019,1,""
"87","Spain",118.1,132.8,NA,NA,NA,262.3,2019,11,"0.5"
"88","Turkey",109.7,51.5,NA,NA,NA,166.9,2019,5.4,"0.2"
"89","United Kingdom",689.8,223.7,NA,NA,148.5,1098.7,2019,33.5,"3.2"
"90","Australia",15.6,1.5,NA,NA,70.6,87.7,2020,NA,"0.1"
"91","Belgium",129.9,146,NA,NA,NA,276,2020,0.1,"0.1"
"92","Germany",3219.1,4507.4,NA,NA,30.5,8125.5,2020,368.4,"0.1"
"93","Italy",1069.6,1117.2,NA,NA,77.4,2341.6,2020,70.3,"7.0"
"94","Japan",3143.4,1817.5,NA,NA,469.8,5717.8,2020,283.9,"3.3"
"95","South Korea",2104,2218.1,NA,NA,NA,4464.2,2020,140.8,"1.3"
"96","Kuwait",64.8,8.5,NA,NA,NA,73.4,2020,NA,"0.2"
"97","Netherlands",46.5,48.6,NA,NA,NA,95,2020,NA,""
"98","Poland",10.2,12.3,NA,NA,NA,22.5,2020,NA,""
"99","Portugal",21.2,18.1,NA,NA,NA,39.6,2020,0.3,""
"100","Spain",123,142.3,NA,NA,NA,291.9,2020,26.2,"0.5"
"101","Turkey",122.5,50.4,NA,NA,NA,174,2020,0.8,"0.2"
"102","United Kingdom",683.8,223.8,NA,NA,14.3,962.6,2020,37.5,"3.2"
